Coral_ID,Depth,O2,pH,Species,Treatment,Condition,Location,Experiment
1,0,294.3565369,8.029999733,Acropora,Pr,Light,tissue,Shikine
1,10,288.8508148,8.029999733,Acropora,Pr,Light,tissue,Shikine
1,20,281.842041,8.020000458,Acropora,Pr,Light,tissue,Shikine
1,30,281.776535,8.020000458,Acropora,Pr,Light,tissue,Shikine
1,40,280.9822388,8.020000458,Acropora,Pr,Light,tissue,Shikine
1,50,281.9573517,8.010000229,Acropora,Pr,Light,tissue,Shikine
1,60,280.3779602,8.010000229,Acropora,Pr,Light,tissue,Shikine
1,70,279.7169342,8.010000229,Acropora,Pr,Light,tissue,Shikine
1,80,281.6895905,8.010000229,Acropora,Pr,Light,tissue,Shikine
1,90,280.8022461,8.010000229,Acropora,Pr,Light,tissue,Shikine
1,100,281.6895905,8.010000229,Acropora,Pr,Light,tissue,Shikine
1,110,280.520401,8.010000229,Acropora,Pr,Light,tissue,Shikine
1,120,282.2387695,8.010000229,Acropora,Pr,Light,tissue,Shikine
1,130,280.5369415,8.010000229,Acropora,Pr,Light,tissue,Shikine
1,140,280.4250946,8.010000229,Acropora,Pr,Light,tissue,Shikine
1,150,280.7334747,8.010000229,Acropora,Pr,Light,tissue,Shikine
1,160,280.1551056,8.010000229,Acropora,Pr,Light,tissue,Shikine
1,170,280.8414307,8.010000229,Acropora,Pr,Light,tissue,Shikine
1,180,279.7371368,8.010000229,Acropora,Pr,Light,tissue,Shikine
1,190,280.2414246,8.010000229,Acropora,Pr,Light,tissue,Shikine
1,200,281.7885742,8.010000229,Acropora,Pr,Light,tissue,Shikine
1,0,326.4987793,8.180000305,Acropora,Pr,Light,interface_tissue,Shikine
1,10,307.4628601,8.087142944,Acropora,Pr,Light,interface_tissue,Shikine
1,20,293.157959,8.024285316,Acropora,Pr,Light,interface_tissue,Shikine
1,30,284.8032684,8.000612259,Acropora,Pr,Light,interface_tissue,Shikine
1,40,281.9834747,7.989999771,Acropora,Pr,Light,interface_tissue,Shikine
1,50,280.1502075,7.980000019,Acropora,Pr,Light,interface_tissue,Shikine
1,60,279.6414337,7.980000019,Acropora,Pr,Light,interface_tissue,Shikine
1,70,280.9226532,7.974081516,Acropora,Pr,Light,interface_tissue,Shikine
1,80,281.4675446,7.96999979,Acropora,Pr,Light,interface_tissue,Shikine
1,90,282.0795898,7.971020222,Acropora,Pr,Light,interface_tissue,Shikine
1,100,280.9124451,7.974897861,Acropora,Pr,Light,interface_tissue,Shikine
1,110,282.1053009,7.980000019,Acropora,Pr,Light,interface_tissue,Shikine
1,120,283.3463287,7.96999979,Acropora,Pr,Light,interface_tissue,Shikine
1,130,281.7622375,7.980000019,Acropora,Pr,Light,interface_tissue,Shikine
1,140,281.0187683,7.975918293,Acropora,Pr,Light,interface_tissue,Shikine
1,150,280.9293823,7.980000019,Acropora,Pr,Light,interface_tissue,Shikine
1,160,281.9038849,7.96999979,Acropora,Pr,Light,interface_tissue,Shikine
1,170,280.4479523,7.978979588,Acropora,Pr,Light,interface_tissue,Shikine
1,180,279.9820404,7.980000019,Acropora,Pr,Light,interface_tissue,Shikine
1,190,282.42836,7.974489689,Acropora,Pr,Light,interface_tissue,Shikine
1,200,280.3504028,7.976530552,Acropora,Pr,Light,interface_tissue,Shikine
1,0,322.9114227,8.079999924,Acropora,Pr,Light,interface_algae,Shikine
1,10,326.5575562,8.090000153,Acropora,Pr,Light,interface_algae,Shikine
1,20,325.1514282,8.119999886,Acropora,Pr,Light,interface_algae,Shikine
1,30,323.7914276,8.119999886,Acropora,Pr,Light,interface_algae,Shikine
1,40,320.570816,8.091836929,Acropora,Pr,Light,interface_algae,Shikine
1,50,314.5295868,8.050000191,Acropora,Pr,Light,interface_algae,Shikine
1,60,307.2632599,8.020000458,Acropora,Pr,Light,interface_algae,Shikine
1,70,300.0955048,8.010000229,Acropora,Pr,Light,interface_algae,Shikine
1,80,294.6673431,8.004081726,Acropora,Pr,Light,interface_algae,Shikine
1,90,290.8706055,8.010000229,Acropora,Pr,Light,interface_algae,Shikine
1,100,287.8126526,8.010000229,Acropora,Pr,Light,interface_algae,Shikine
1,110,287.6304016,8.020000458,Acropora,Pr,Light,interface_algae,Shikine
1,120,285.7514343,8.020000458,Acropora,Pr,Light,interface_algae,Shikine
1,130,286.0228577,8.020000458,Acropora,Pr,Light,interface_algae,Shikine
1,140,284.2985687,8.020000458,Acropora,Pr,Light,interface_algae,Shikine
1,150,284.0175476,8.020000458,Acropora,Pr,Light,interface_algae,Shikine
1,160,284.9008179,8.010000229,Acropora,Pr,Light,interface_algae,Shikine
1,170,282.8112183,7.994285583,Acropora,Pr,Light,interface_algae,Shikine
1,180,283.1457214,7.972448826,Acropora,Pr,Light,interface_algae,Shikine
1,190,281.2685699,7.96999979,Acropora,Pr,Light,interface_algae,Shikine
