ID,Treatment,Species,Type,Vol_L,Experiment,perhalfDay
10,Pr,Porites,Dark,15.979,Shikine,-1.048341636
10,Pr,Porites,Light,15.979,Shikine,3.759389762
11,Pr,Porites,Dark,15.979,Shikine,-3.94787446
11,Pr,Porites,Light,15.979,Shikine,2.661715564
12,Pr,Porites,Dark,15.979,Shikine,-0.325600538
12,Pr,Porites,Light,15.979,Shikine,1.371981976
13,Pr,Porites,Dark,15.979,Shikine,-0.258674886
13,Pr,Porites,Light,15.979,Shikine,4.251106577
14,OA,Acropora,Dark,15.979,Shikine,1.470050754
14,OA,Acropora,Light,15.979,Shikine,5.394338194
15,OA,Acropora,Dark,15.979,Shikine,1.639469491
15,OA,Acropora,Light,15.979,Shikine,7.389622129
16,OA,Acropora,Dark,15.979,Shikine,-1.705313411
16,OA,Acropora,Light,15.979,Shikine,2.96100363
17,OA,Acropora,Dark,15.979,Shikine,-3.484083923
17,OA,Acropora,Light,15.979,Shikine,3.431276238
18,OA,Acropora,Dark,15.979,Shikine,-1.101210839
18,OA,Acropora,Light,15.979,Shikine,1.565264535
19,OA,Acropora,Dark,15.979,Shikine,-0.445916453
19,OA,Acropora,Light,15.979,Shikine,1.839372802
1,Pr,Acropora,Dark,15.979,Shikine,3.469363665
1,Pr,Acropora,Light,15.979,Shikine,11.71338138
20,OA,Porites,Dark,15.979,Shikine,0.164123036
20,OA,Porites,Light,15.979,Shikine,-5.96653126
21,OA,Porites,Dark,15.979,Shikine,-1.180946617
21,OA,Porites,Light,15.979,Shikine,2.223639965
22,OA,Porites,Dark,15.979,Shikine,-1.738908693
22,OA,Porites,Light,15.979,Shikine,3.608566055
23,OA,Porites,Dark,15.979,Shikine,-1.182017648
23,OA,Porites,Light,15.979,Shikine,3.871298705
24,OA,Porites,Dark,15.979,Shikine,-0.969217661
24,OA,Porites,Light,15.979,Shikine,-9.181327305
25,OA,Porites,Dark,15.979,Shikine,-0.523483572
25,OA,Porites,Light,15.979,Shikine,4.100350585
26,OA,Porites,Dark,15.979,Shikine,-2.889916015
26,OA,Porites,Light,15.979,Shikine,0.293191063
2,Pr,Acropora,Dark,15.979,Shikine,2.811958258
2,Pr,Acropora,Light,15.979,Shikine,31.71423099
3,Pr,Acropora,Dark,15.979,Shikine,0.634064022
3,Pr,Acropora,Light,15.979,Shikine,10.09063809
4,Pr,Acropora,Dark,15.979,Shikine,-0.703273859
4,Pr,Acropora,Light,15.979,Shikine,3.384489455
5,Pr,Acropora,Dark,15.979,Shikine,0.266163402
5,Pr,Acropora,Light,15.979,Shikine,18.08288848
6,Pr,Acropora,Dark,15.979,Shikine,1.800556668
6,Pr,Acropora,Light,15.979,Shikine,11.76574229
7,Pr,Porites,Dark,15.979,Shikine,-2.768555416
7,Pr,Porites,Light,15.979,Shikine,1.474692221
8,Pr,Porites,Dark,15.979,Shikine,-0.896517429
8,Pr,Porites,Light,15.979,Shikine,22.0445971
9,Pr,Porites,Dark,15.979,Shikine,-0.614658677
9,Pr,Porites,Light,15.979,Shikine,2.473569936
4A 01,Pr,Acropora,Light,15.979,Shimoda,1.256358213
4A 02,Pr,Acropora,Light,15.979,Shimoda,1.833268349
4A 03,OA,Acropora,Light,15.979,Shimoda,-0.340309668
4A 04,OA,Acropora,Light,15.979,Shimoda,1.012902514
4A 05,OA,Acropora,Light,15.979,Shimoda,-3.893523922
4A 06,OA,Acropora,Light,15.979,Shimoda,-2.15342695
4A 07,Pr,Acropora,Light,15.979,Shimoda,1.079019862
4A 08,Pr,Acropora,Light,15.979,Shimoda,2.997325275
4B 01,Pr,Acropora,Light,15.979,Shimoda,2.37007204
4B 02,Pr,Acropora,Light,15.979,Shimoda,3.139193879
4B 03,OA,Acropora,Light,15.979,Shimoda,-1.813006046
4B 04,OA,Acropora,Light,15.979,Shimoda,-1.076243272
4B 05,Pr,Acropora,Light,15.979,Shimoda,2.505605152
4B 06,OA,Acropora,Light,15.979,Shimoda,-0.910628565
4B 07,OA,Acropora,Light,15.979,Shimoda,-9.222259046
4B 08,Pr,Acropora,Light,15.979,Shimoda,4.776372448
4C 02,OA,Acropora,Light,15.979,Shimoda,0.699919511
4C 03,Pr,Acropora,Light,15.979,Shimoda,3.005066867
4D 02,Pr,Acropora,Light,15.979,Shimoda,7.546327048
4D 03,OA,Acropora,Light,15.979,Shimoda,-0.445754424
4A 01,Pr,Porites,Light,15.979,Shimoda,2.206629216
