ID,Treatment,Species,Type,Start,Start_Tot,End,End_Tot,Start_%,End_%,%_Change,Days,Day_Rate,Experiment
1,Pr,Acropora,Coral,16.215,28.977,39.673,48.481,0.559581737,0.818320579,0.258738842,236,0.001096351,Shikine
2,Pr,Acropora,Coral,16.243,31.996,64.507,64.507,0.507657207,1,0.492342793,236,0.002086198,Shikine
3,Pr,Acropora,Coral,14.638,27.597,62.664,62.664,0.530419973,1,0.469580027,236,0.001989746,Shikine
4,Pr,Acropora,Coral,14.15,30.971,11.046,33.64,0.456879016,0.328359096,-0.12851992,236,-0.000544576,Shikine
5,Pr,Acropora,Coral,16.179,28.207,64.959,67.469,0.573581026,0.962797729,0.389216703,236,0.001649223,Shikine
6,Pr,Acropora,Coral,12.348,22.413,38.769,46.191,0.550930264,0.839319348,0.288389084,236,0.001221988,Shikine
7,Pr,Porites,Coral,11.639,24.524,0,56.544,0.474596314,0,-0.474596314,236,-0.002011001,Shikine
8,Pr,Porites,Coral,15.154,31.558,5.736,44.881,0.480195196,0.127804639,-0.352390557,236,-0.00149318,Shikine
9,Pr,Porites,Coral,12.61,25.725,2.349,37.17,0.490184645,0.063196126,-0.426988519,236,-0.001809273,Shikine
10,Pr,Porites,Coral,14.581,30.928,0,30.449,0.471449819,0,-0.471449819,236,-0.001997669,Shikine
11,Pr,Porites,Coral,17.511,31.241,5.86,42.573,0.560513428,0.137645926,-0.422867502,236,-0.001791811,Shikine
12,Pr,Porites,Coral,14.231,20.464,0,42.264,0.695416341,0,-0.695416341,236,-0.002946679,Shikine
13,Pr,Porites,Coral,8.914,17.778,0.631,19.419,0.501406232,0.032493949,-0.468912283,236,-0.001986916,Shikine
14,OA,Acropora,Coral,14.053,27.294,28.968,47.163,0.514875064,0.614210292,0.099335228,236,0.000420912,Shikine
15,OA,Acropora,Coral,13.035,19.913,30.607,31.985,0.654597499,0.956917305,0.302319806,236,0.001281016,Shikine
16,OA,Acropora,Coral,21.728,37.391,21.777,48.968,0.581102404,0.444719,-0.136383404,236,-0.000577896,Shikine
17,OA,Acropora,Coral,15.634,25.442,22.392,39.02,0.614495716,0.573859559,-0.040636157,236,-0.000172187,Shikine
18,OA,Acropora,Coral,21.306,35.069,9.217,36.621,0.607545125,0.251686191,-0.355858934,236,-0.001507877,Shikine
19,OA,Acropora,Coral,22.301,37.94,1.663,32.65,0.587796521,0.05093415,-0.536862371,236,-0.002274841,Shikine
