ID,Treatment,Species,Type,FvFm,Experiment
1,Pr,Acropora,Coral,0.691,Shikine
1,Pr,Acropora,Coral,0.748,Shikine
1,Pr,Acropora,Coral,0.726,Shikine
2,Pr,Acropora,Coral,0.709,Shikine
2,Pr,Acropora,Coral,0.725,Shikine
2,Pr,Acropora,Coral,0.667,Shikine
3,Pr,Acropora,Coral,0.601,Shikine
3,Pr,Acropora,Coral,0.623,Shikine
3,Pr,Acropora,Coral,0.688,Shikine
4,Pr,Acropora,Coral,0.646,Shikine
4,Pr,Acropora,Coral,0.642,Shikine
4,Pr,Acropora,Coral,0.607,Shikine
5,Pr,Acropora,Coral,0.649,Shikine
5,Pr,Acropora,Coral,0.779,Shikine
5,Pr,Acropora,Coral,0.673,Shikine
6,Pr,Acropora,Coral,0.63,Shikine
6,Pr,Acropora,Coral,0.748,Shikine
6,Pr,Acropora,Coral,0.71,Shikine
7,Pr,Porites,Coral,,Shikine
7,Pr,Porites,Coral,,Shikine
7,Pr,Porites,Coral,,Shikine
8,Pr,Porites,Coral,0.506,Shikine
8,Pr,Porites,Coral,0.625,Shikine
8,Pr,Porites,Coral,0.531,Shikine
9,Pr,Porites,Coral,0.615,Shikine
9,Pr,Porites,Coral,0.604,Shikine
9,Pr,Porites,Coral,0.612,Shikine
10,Pr,Porites,Coral,,Shikine
10,Pr,Porites,Coral,,Shikine
10,Pr,Porites,Coral,,Shikine
11,Pr,Porites,Coral,0.56,Shikine
11,Pr,Porites,Coral,0.626,Shikine
11,Pr,Porites,Coral,0.56,Shikine
12,Pr,Porites,Coral,,Shikine
12,Pr,Porites,Coral,,Shikine
12,Pr,Porites,Coral,,Shikine
13,Pr,Porites,Coral,,Shikine
13,Pr,Porites,Coral,,Shikine
13,Pr,Porites,Coral,,Shikine
14,OA,Acropora,Coral,0.711,Shikine
14,OA,Acropora,Coral,0.659,Shikine
14,OA,Acropora,Coral,0.697,Shikine
15,OA,Acropora,Coral,0.64,Shikine
15,OA,Acropora,Coral,0.647,Shikine
15,OA,Acropora,Coral,0.63,Shikine
16,OA,Acropora,Coral,0.603,Shikine
16,OA,Acropora,Coral,0.588,Shikine
16,OA,Acropora,Coral,0.607,Shikine
17,OA,Acropora,Coral,0.596,Shikine
17,OA,Acropora,Coral,0.644,Shikine
17,OA,Acropora,Coral,0.636,Shikine
18,OA,Acropora,Coral,0.587,Shikine
18,OA,Acropora,Coral,0.572,Shikine
18,OA,Acropora,Coral,0.586,Shikine
19,OA,Acropora,Coral,0.621,Shikine
19,OA,Acropora,Coral,0.579,Shikine
19,OA,Acropora,Coral,0.743,Shikine
20,OA,Porites,Coral,,Shikine
20,OA,Porites,Coral,,Shikine
20,OA,Porites,Coral,,Shikine
21,OA,Porites,Coral,,Shikine
21,OA,Porites,Coral,,Shikine
21,OA,Porites,Coral,,Shikine
22,OA,Porites,Coral,,Shikine
22,OA,Porites,Coral,,Shikine
22,OA,Porites,Coral,,Shikine
23,OA,Porites,Coral,,Shikine
23,OA,Porites,Coral,,Shikine
23,OA,Porites,Coral,,Shikine
24,OA,Porites,Coral,,Shikine
24,OA,Porites,Coral,,Shikine
24,OA,Porites,Coral,,Shikine
25,OA,Porites,Coral,,Shikine
25,OA,Porites,Coral,,Shikine
25,OA,Porites,Coral,,Shikine
26,OA,Porites,Coral,,Shikine
26,OA,Porites,Coral,,Shikine
26,OA,Porites,Coral,,Shikine
1,Pr,Acropora,Algae,0.659,Shikine
1,Pr,Acropora,Algae,0.76,Shikine
1,Pr,Acropora,Algae,0.84,Shikine
2,Pr,Acropora,Algae,,Shikine
2,Pr,Acropora,Algae,,Shikine
2,Pr,Acropora,Algae,,Shikine
3,Pr,Acropora,Algae,,Shikine
3,Pr,Acropora,Algae,,Shikine
3,Pr,Acropora,Algae,,Shikine
4,Pr,Acropora,Algae,0.653,Shikine
4,Pr,Acropora,Algae,0.661,Shikine
4,Pr,Acropora,Algae,0.677,Shikine
5,Pr,Acropora,Algae,0.643,Shikine
5,Pr,Acropora,Algae,0.678,Shikine
5,Pr,Acropora,Algae,0.754,Shikine
6,Pr,Acropora,Algae,0.64,Shikine
6,Pr,Acropora,Algae,0.636,Shikine
6,Pr,Acropora,Algae,0.614,Shikine
7,Pr,Porites,Algae,0.64,Shikine
7,Pr,Porites,Algae,0.652,Shikine
7,Pr,Porites,Algae,0.687,Shikine
8,Pr,Porites,Algae,0.673,Shikine
8,Pr,Porites,Algae,0.674,Shikine
8,Pr,Porites,Algae,0.694,Shikine
9,Pr,Porites,Algae,0.67,Shikine
9,Pr,Porites,Algae,0.734,Shikine
9,Pr,Porites,Algae,0.7,Shikine
10,Pr,Porites,Algae,0.658,Shikine
10,Pr,Porites,Algae,0.73,Shikine
10,Pr,Porites,Algae,0.79,Shikine
11,Pr,Porites,Algae,0.656,Shikine
11,Pr,Porites,Algae,0.658,Shikine
11,Pr,Porites,Algae,0.792,Shikine
12,Pr,Porites,Algae,0.581,Shikine
12,Pr,Porites,Algae,0.697,Shikine
12,Pr,Porites,Algae,0.649,Shikine
13,Pr,Porites,Algae,0.561,Shikine
13,Pr,Porites,Algae,0.626,Shikine
13,Pr,Porites,Algae,0.66,Shikine
14,OA,Acropora,Algae,0.738,Shikine
14,OA,Acropora,Algae,0.665,Shikine
14,OA,Acropora,Algae,0.745,Shikine
15,OA,Acropora,Algae,0.695,Shikine
15,OA,Acropora,Algae,0.667,Shikine
15,OA,Acropora,Algae,0.712,Shikine
16,OA,Acropora,Algae,0.643,Shikine
16,OA,Acropora,Algae,0.666,Shikine
16,OA,Acropora,Algae,0.651,Shikine
17,OA,Acropora,Algae,0.714,Shikine
17,OA,Acropora,Algae,0.681,Shikine
17,OA,Acropora,Algae,0.683,Shikine
18,OA,Acropora,Algae,0.68,Shikine
18,OA,Acropora,Algae,0.686,Shikine
18,OA,Acropora,Algae,0.646,Shikine
19,OA,Acropora,Algae,0.573,Shikine
19,OA,Acropora,Algae,0.648,Shikine
19,OA,Acropora,Algae,0.623,Shikine
20,OA,Porites,Algae,0.641,Shikine
20,OA,Porites,Algae,0.701,Shikine
20,OA,Porites,Algae,0.653,Shikine
21,OA,Porites,Algae,0.666,Shikine
21,OA,Porites,Algae,0.655,Shikine
21,OA,Porites,Algae,0.609,Shikine
22,OA,Porites,Algae,0.556,Shikine
22,OA,Porites,Algae,0.644,Shikine
22,OA,Porites,Algae,0.62,Shikine
23,OA,Porites,Algae,0.433,Shikine
23,OA,Porites,Algae,0.489,Shikine
23,OA,Porites,Algae,0.497,Shikine
24,OA,Porites,Algae,0.685,Shikine
24,OA,Porites,Algae,0.662,Shikine
24,OA,Porites,Algae,0.603,Shikine
25,OA,Porites,Algae,0.595,Shikine
25,OA,Porites,Algae,0.533,Shikine
25,OA,Porites,Algae,0.62,Shikine
26,OA,Porites,Algae,0.569,Shikine
26,OA,Porites,Algae,0.537,Shikine
26,OA,Porites,Algae,0.51,Shikine
4C03,Pr,Acropora,Coral,0.709,Shimoda
4C02,OA,Acropora,Coral,0.565,Shimoda
4D03,OA,Acropora,Coral,0.597,Shimoda
4D02,Pr,Acropora,Coral,0.634,Shimoda
4A08,Pr,Acropora,Coral,0.579,Shimoda
4A07,Pr,Acropora,Coral,0.689,Shimoda
4B08,Pr,Acropora,Coral,0.667,Shimoda
4B07,OA,Acropora,Coral,0.614,Shimoda
4A06,OA,Acropora,Coral,0.639,Shimoda
4A05,OA,Acropora,Coral,0.631,Shimoda
4B06,OA,Acropora,Coral,0.674,Shimoda
4B05,Pr,Acropora,Coral,0.647,Shimoda
4A04,OA,Acropora,Coral,0.526,Shimoda
4A03,OA,Acropora,Coral,0.525,Shimoda
4B04,OA,Acropora,Coral,0.599,Shimoda
4B03,OA,Acropora,Coral,0.59,Shimoda
4A02,Pr,Acropora,Coral,0.557,Shimoda
4A01,Pr,Acropora,Coral,0.612,Shimoda
4B02,Pr,Acropora,Coral,0.595,Shimoda
4B01,Pr,Acropora,Coral,0.64,Shimoda
4C03,Pr,Porites,Coral,0.609,Shimoda
4C02,OA,Porites,Coral,0.464,Shimoda
4D03,OA,Porites,Coral,0.591,Shimoda
4D02,Pr,Porites,Coral,0.636,Shimoda
4A08,Pr,Porites,Coral,0.622,Shimoda
4A07,Pr,Porites,Coral,0.654,Shimoda
4B08,Pr,Porites,Coral,0.68,Shimoda
4B07,OA,Porites,Coral,0.625,Shimoda
4A06,OA,Porites,Coral,0.661,Shimoda
4A05,OA,Porites,Coral,0.621,Shimoda
4B06,OA,Porites,Coral,0.64,Shimoda
4B05,Pr,Porites,Coral,0.647,Shimoda
4A04,OA,Porites,Coral,0.446,Shimoda
4A03,OA,Porites,Coral,0.545,Shimoda
4B04,OA,Porites,Coral,0.584,Shimoda
4B03,OA,Porites,Coral,0.557,Shimoda
4A02,Pr,Porites,Coral,0.578,Shimoda
4A01,Pr,Porites,Coral,0.61,Shimoda
4B02,Pr,Porites,Coral,0.682,Shimoda
4B01,Pr,Porites,Coral,0.651,Shimoda
4C03,Pr,Acropora,Coral,0.674,Shimoda
4C02,OA,Acropora,Coral,0.507,Shimoda
4D03,OA,Acropora,Coral,0.643,Shimoda
4D02,Pr,Acropora,Coral,0.589,Shimoda
4A08,Pr,Acropora,Coral,0.624,Shimoda
4A07,Pr,Acropora,Coral,0.614,Shimoda
4B08,Pr,Acropora,Coral,0.665,Shimoda
4B07,OA,Acropora,Coral,0.64,Shimoda
4A06,OA,Acropora,Coral,0.686,Shimoda
4A05,OA,Acropora,Coral,0.538,Shimoda
4B06,OA,Acropora,Coral,0.686,Shimoda
4B05,Pr,Acropora,Coral,0.652,Shimoda
