Sensor,Site,Date_Time,light,temp,mv,pH
DEFI2-L,OA_Shallow,2022-05-30 9:00,1.2,,,
DEFI2-L,OA_Shallow,2022-05-30 9:15,1.1,,,
DEFI2-L,OA_Shallow,2022-05-30 9:30,1.1,,,
DEFI2-L,OA_Shallow,2022-05-30 9:45,1.2,,,
DEFI2-L,OA_Shallow,2022-05-30 10:00,1.8,,,
DEFI2-L,OA_Shallow,2022-05-30 10:15,1.2,,,
DEFI2-L,OA_Shallow,2022-05-30 10:30,1,,,
DEFI2-L,OA_Shallow,2022-05-30 10:45,1.2,,,
DEFI2-L,OA_Shallow,2022-05-30 11:00,1.2,,,
DEFI2-L,OA_Shallow,2022-05-30 11:15,1.2,,,
DEFI2-L,OA_Shallow,2022-05-30 11:30,1.3,,,
DEFI2-L,OA_Shallow,2022-05-30 11:45,1.5,,,
DEFI2-L,OA_Shallow,2022-05-30 12:00,1.2,,,
DEFI2-L,OA_Shallow,2022-05-30 12:15,12.6,,,
DEFI2-L,OA_Shallow,2022-05-30 12:30,257.3,,,
DEFI2-L,OA_Shallow,2022-05-30 12:45,11.4,,,
DEFI2-L,OA_Shallow,2022-05-30 13:00,343.1,,,
DEFI2-L,OA_Shallow,2022-05-30 13:15,464.3,,,
DEFI2-L,OA_Shallow,2022-05-30 13:30,574.9,,,
DEFI2-L,OA_Shallow,2022-05-30 13:45,632.3,,,
DEFI2-L,OA_Shallow,2022-05-30 14:00,459.9,,,
DEFI2-L,OA_Shallow,2022-05-30 14:15,346.5,,,
DEFI2-L,OA_Shallow,2022-05-30 14:30,197.4,,,
DEFI2-L,OA_Shallow,2022-05-30 14:45,312.6,,,
DEFI2-L,OA_Shallow,2022-05-30 15:00,238.9,,,
DEFI2-L,OA_Shallow,2022-05-30 15:15,85.8,,,
DEFI2-L,OA_Shallow,2022-05-30 15:30,90.2,,,
DEFI2-L,OA_Shallow,2022-05-30 15:45,87.7,,,
DEFI2-L,OA_Shallow,2022-05-30 16:00,89.5,,,
DEFI2-L,OA_Shallow,2022-05-30 16:15,74.5,,,
DEFI2-L,OA_Shallow,2022-05-30 16:30,94.9,,,
DEFI2-L,OA_Shallow,2022-05-30 16:45,100.8,,,
DEFI2-L,OA_Shallow,2022-05-30 17:00,90.5,,,
DEFI2-L,OA_Shallow,2022-05-30 17:15,65.1,,,
DEFI2-L,OA_Shallow,2022-05-30 17:30,58.7,,,
DEFI2-L,OA_Shallow,2022-05-30 17:45,45.5,,,
DEFI2-L,OA_Shallow,2022-05-30 18:00,25,,,
DEFI2-L,OA_Shallow,2022-05-30 18:15,19.4,,,
DEFI2-L,OA_Shallow,2022-05-30 18:30,6.9,,,
DEFI2-L,OA_Shallow,2022-05-30 18:45,3.5,,,
DEFI2-L,OA_Shallow,2022-05-30 19:00,1.6,,,
DEFI2-L,OA_Shallow,2022-05-30 19:15,1.2,,,
DEFI2-L,OA_Shallow,2022-05-30 19:30,1.2,,,
DEFI2-L,OA_Shallow,2022-05-30 19:45,1.2,,,
DEFI2-L,OA_Shallow,2022-05-30 20:00,1.2,,,
DEFI2-L,OA_Shallow,2022-05-30 20:15,1.1,,,
DEFI2-L,OA_Shallow,2022-05-30 20:30,1.1,,,
DEFI2-L,OA_Shallow,2022-05-30 20:45,1.2,,,
DEFI2-L,OA_Shallow,2022-05-30 21:00,1.1,,,
DEFI2-L,OA_Shallow,2022-05-30 21:15,1.1,,,
DEFI2-L,OA_Shallow,2022-05-30 21:30,1.2,,,
DEFI2-L,OA_Shallow,2022-05-30 21:45,1.1,,,
DEFI2-L,OA_Shallow,2022-05-30 22:00,1.2,,,
DEFI2-L,OA_Shallow,2022-05-30 22:15,1.3,,,
DEFI2-L,OA_Shallow,2022-05-30 22:30,1.2,,,
DEFI2-L,OA_Shallow,2022-05-30 22:45,1.2,,,
DEFI2-L,OA_Shallow,2022-05-30 23:00,1.1,,,
DEFI2-L,OA_Shallow,2022-05-30 23:15,1.1,,,
DEFI2-L,OA_Shallow,2022-05-30 23:30,1.1,,,
DEFI2-L,OA_Shallow,2022-05-30 23:45,1.2,,,
DEFI2-L,OA_Shallow,2022-05-31 0:00,1.2,,,
DEFI2-L,OA_Shallow,2022-05-31 0:15,1.1,,,
DEFI2-L,OA_Shallow,2022-05-31 0:30,1.2,,,
DEFI2-L,OA_Shallow,2022-05-31 0:45,1.1,,,
DEFI2-L,OA_Shallow,2022-05-31 1:00,1.1,,,
DEFI2-L,OA_Shallow,2022-05-31 1:15,1.2,,,
DEFI2-L,OA_Shallow,2022-05-31 1:30,1.3,,,
DEFI2-L,OA_Shallow,2022-05-31 1:45,1.3,,,
DEFI2-L,OA_Shallow,2022-05-31 2:00,1.1,,,
DEFI2-L,OA_Shallow,2022-05-31 2:15,1.4,,,
DEFI2-L,OA_Shallow,2022-05-31 2:30,1.1,,,
DEFI2-L,OA_Shallow,2022-05-31 2:45,1.1,,,
DEFI2-L,OA_Shallow,2022-05-31 3:00,1,,,
DEFI2-L,OA_Shallow,2022-05-31 3:15,1.3,,,
DEFI2-L,OA_Shallow,2022-05-31 3:30,1.2,,,
DEFI2-L,OA_Shallow,2022-05-31 3:45,1.2,,,
DEFI2-L,OA_Shallow,2022-05-31 4:00,1.2,,,
DEFI2-L,OA_Shallow,2022-05-31 4:15,1.3,,,
DEFI2-L,OA_Shallow,2022-05-31 4:30,1.9,,,
DEFI2-L,OA_Shallow,2022-05-31 4:45,4.7,,,
DEFI2-L,OA_Shallow,2022-05-31 5:00,6.9,,,
DEFI2-L,OA_Shallow,2022-05-31 5:15,11.8,,,
DEFI2-L,OA_Shallow,2022-05-31 5:30,16.1,,,
DEFI2-L,OA_Shallow,2022-05-31 5:45,9.4,,,
DEFI2-L,OA_Shallow,2022-05-31 6:00,13.5,,,
DEFI2-L,OA_Shallow,2022-05-31 6:15,20.3,,,
DEFI2-L,OA_Shallow,2022-05-31 6:30,37.3,,,
DEFI2-L,OA_Shallow,2022-05-31 6:45,87.4,,,
DEFI2-L,OA_Shallow,2022-05-31 7:00,65.9,,,
DEFI2-L,OA_Shallow,2022-05-31 7:15,87.7,,,
DEFI2-L,OA_Shallow,2022-05-31 7:30,75.6,,,
DEFI2-L,OA_Shallow,2022-05-31 7:45,105.2,,,
DEFI2-L,OA_Shallow,2022-05-31 8:00,109.4,,,
DEFI2-L,OA_Shallow,2022-05-31 8:15,145.8,,,
DEFI2-L,OA_Shallow,2022-05-31 8:30,163.7,,,
DEFI2-L,OA_Shallow,2022-05-31 8:45,205.6,,,
DEFI2-L,OA_Shallow,2022-05-31 9:00,174.1,,,
DEFI2-L,OA_Shallow,2022-05-31 9:15,153.6,,,
DEFI2-L,OA_Shallow,2022-05-31 9:30,251,,,
DEFI2-L,OA_Shallow,2022-05-31 9:45,354.5,,,
DEFI2-L,OA_Shallow,2022-05-31 10:00,107.4,,,
DEFI2-L,OA_Shallow,2022-05-31 10:15,102.1,,,
DEFI2-L,OA_Shallow,2022-05-31 10:30,65.9,,,
DEFI2-L,OA_Shallow,2022-05-31 10:45,104.1,,,
DEFI2-L,OA_Shallow,2022-05-31 11:00,178.8,,,
DEFI2-L,OA_Shallow,2022-05-31 11:15,154.1,,,
DEFI2-L,OA_Shallow,2022-05-31 11:30,101.8,,,
DEFI2-L,OA_Shallow,2022-05-31 11:45,115.3,,,
DEFI2-L,OA_Shallow,2022-05-31 12:00,122.5,,,
DEFI2-L,OA_Shallow,2022-05-31 12:15,95.2,,,
DEFI2-L,OA_Shallow,2022-05-31 12:30,162.8,,,
