"","Treatment","Condition","Location","Depth","meanO2","sdO2","meanpH","sdpH"
"1","Pr","Dark","coral tissue",0,212.282323414091,84.8862490409505,7.84838517268182,0.173244115511439
"2","Pr","Dark","coral tissue",10,221.612717968182,75.6737592496856,7.86625526886364,0.17497121885027
"3","Pr","Dark","coral tissue",20,230.812344477273,69.0697427767971,7.88788731495455,0.175976441475726
"4","Pr","Dark","coral tissue",30,237.532458527273,63.8846033493964,7.90292646313636,0.171247176871862
"5","Pr","Dark","coral tissue",40,243.645176672727,56.0936699427669,7.915916836,0.168134817921063
"6","Pr","Dark","coral tissue",50,248.333712713636,50.1005625924091,7.92691166622727,0.168772364279738
"7","Pr","Dark","coral tissue",60,251.28890435,43.894971042227,7.92826097172727,0.165657363748462
"8","Pr","Dark","coral tissue",70,251.12706565,37.8609078143422,7.93222759754545,0.162585624354052
"9","Pr","Dark","coral tissue",80,253.194460727273,35.5686105445888,7.93358519181818,0.159852481073005
"10","Pr","Dark","coral tissue",90,255.294553036364,31.1593568732693,7.944181957,0.1564243815147
"11","Pr","Dark","coral tissue",100,257.144809063636,29.5587835499174,7.95155325859091,0.154537895715369
"12","Pr","Dark","coral tissue",110,259.3564421,26.5335899021305,7.95509014940909,0.149213047424774
"13","Pr","Dark","coral tissue",120,260.500521931818,26.4270122936578,7.96135235336364,0.145488189812582
"14","Pr","Dark","coral tissue",130,263.108148463636,22.0776683081381,7.96645610022727,0.140325679566534
"15","Pr","Dark","coral tissue",140,263.656539313636,21.3012690985766,7.97202582254545,0.133774742955353
"16","Pr","Dark","coral tissue",150,264.737514818182,18.989519703913,7.97593595972727,0.127078118847699
"17","Pr","Dark","coral tissue",160,265.676035518182,17.8095743989363,7.97881677195455,0.124022329792929
"18","Pr","Dark","coral tissue",170,266.443350909091,16.054063356645,7.98340931186364,0.121206076235467
"19","Pr","Dark","coral tissue",180,267.932973809091,12.8556674485828,7.98769505290909,0.114561956026283
"20","Pr","Dark","coral tissue",190,267.805876854545,11.3714538725652,7.98934652809091,0.109191560439461
"21","Pr","Dark","coral tissue",200,267.695845759091,11.0905391676763,7.98990756209091,0.106248496803428
"22","Pr","Dark","turf algae",0,199.886603763292,111.662548271285,7.7902512035,0.270779450069154
"23","Pr","Dark","turf algae",10,203.272678541542,108.846803672681,7.78297170820833,0.269068341852151
"24","Pr","Dark","turf algae",20,205.749062103,106.057148899247,7.794213223625,0.262174490404533
"25","Pr","Dark","turf algae",30,208.394596805083,99.6758901066311,7.79994367375,0.2507478968642
"26","Pr","Dark","turf algae",40,211.260519324542,94.7370104923082,7.811111974875,0.246293623375729
"27","Pr","Dark","turf algae",50,215.298075104125,89.8575802790309,7.82340869125,0.239207262272849
"28","Pr","Dark","turf algae",60,217.957415149583,86.804058974178,7.833258815875,0.233868619337833
"29","Pr","Dark","turf algae",70,220.489050486667,82.0433894334007,7.8504879555,0.22490660624096
"30","Pr","Dark","turf algae",80,224.622822131333,77.6661817653366,7.86081803645833,0.216351092132437
"31","Pr","Dark","turf algae",90,228.583550264583,75.506971192992,7.87526204995833,0.205527041256101
"32","Pr","Dark","turf algae",100,231.18006214,72.6938109045927,7.88969469879167,0.194125749617982
"33","Pr","Dark","turf algae",110,235.237009582083,70.8337800052111,7.90077806320833,0.185486230558248
"34","Pr","Dark","turf algae",120,237.872454329583,68.9748646009134,7.9102532945,0.181766998228542
"35","Pr","Dark","turf algae",130,240.220186909583,67.4753492788465,7.91481104308333,0.174823727569534
"36","Pr","Dark","turf algae",140,242.6953426375,66.4685451829194,7.92357477358333,0.164414755304004
"37","Pr","Dark","turf algae",150,245.060412344583,65.4855298399136,7.92895965591667,0.156428828517916
"38","Pr","Dark","turf algae",160,247.13610323375,64.608338760126,7.93544905204167,0.147503905514853
"39","Pr","Dark","turf algae",170,248.994768503333,63.3049873689678,7.94055734891667,0.140335913996471
"40","Pr","Dark","turf algae",180,250.2091352325,62.8882255209678,7.94185953158333,0.136359950507425
"41","Pr","Dark","turf algae",190,250.75380278,63.0238411244375,7.94312728266667,0.136401734817091
"42","Pr","Dark","turf algae",200,251.778436607917,62.529198180025,7.94180916566667,0.133938627274995
"43","Pr","Light","coral tissue",0,454.659984618182,195.079889221764,8.24522983827273,0.161693624104397
"44","Pr","Light","coral tissue",10,431.652652895455,183.669830183265,8.22633798354545,0.160027946436791
"45","Pr","Light","coral tissue",20,414.174716454545,173.990180047832,8.21186862004545,0.15160124836317
"46","Pr","Light","coral tissue",30,395.962178277273,160.249636350381,8.20227370290909,0.148374686102032
"47","Pr","Light","coral tissue",40,379.658551827273,145.980361983959,8.18870166022727,0.141057406942487
"48","Pr","Light","coral tissue",50,364.732921409091,135.788435460838,8.16921169990909,0.13647391782022
"49","Pr","Light","coral tissue",60,353.280782377273,128.421587523867,8.161058088,0.136847300855253
"50","Pr","Light","coral tissue",70,346.895407077273,122.190537094639,8.15583624427273,0.141900028902264
"51","Pr","Light","coral tissue",80,338.952859963636,114.654276326319,8.15376616404545,0.147878826378249
"52","Pr","Light","coral tissue",90,333.280512018182,107.466254897124,8.14702786986364,0.146411404799524
"53","Pr","Light","coral tissue",100,326.586387245455,100.171064633707,8.14336571713636,0.148136045452991
"54","Pr","Light","coral tissue",110,320.198506836364,95.7463618519132,8.14037945936364,0.147825220011722
"55","Pr","Light","coral tissue",120,315.514582022727,91.3341092313096,8.13628013363636,0.148336247231168
"56","Pr","Light","coral tissue",130,310.741548481818,86.9380155674306,8.12965721236364,0.139168959274473
"57","Pr","Light","coral tissue",140,307.359981963636,85.2117561721319,8.12434912604545,0.135079130664038
"58","Pr","Light","coral tissue",150,305.333838872727,82.7653949514292,8.11539375581818,0.127000626452529
"59","Pr","Light","coral tissue",160,302.421557590909,79.2226990148621,8.11316905036364,0.121775444121372
"60","Pr","Light","coral tissue",170,300.624332472727,80.9431143811904,8.10598833804545,0.11384860033415
"61","Pr","Light","coral tissue",180,296.909437663636,75.3550437372754,8.09959189259091,0.106934553093317
"62","Pr","Light","coral tissue",190,295.086540518182,74.7924840747962,8.0944220675,0.104182308467121
"63","Pr","Light","coral tissue",200,293.915604745455,75.7607751174294,8.09049596368182,0.101454330033701
"64","Pr","Light","turf algae",0,474.7399699125,191.00777878228,8.40996860275,0.270961852815808
"65","Pr","Light","turf algae",10,469.230788741667,189.340438310359,8.4032510005,0.244813171276619
"66","Pr","Light","turf algae",20,460.419255158333,184.300768140417,8.38989860625,0.222658087711485
"67","Pr","Light","turf algae",30,449.537183058333,183.464783654112,8.37756425958333,0.206074535748669
"68","Pr","Light","turf algae",40,440.732059266667,181.452585749515,8.35815658970833,0.192814739248303
"69","Pr","Light","turf algae",50,434.357390754167,180.937703914914,8.33536230333333,0.177925248983714
"70","Pr","Light","turf algae",60,429.48221845,179.922352652708,8.32068251379167,0.175137339947225
"71","Pr","Light","turf algae",70,424.962409608333,179.503555236738,8.31172127341667,0.175154973932742
"72","Pr","Light","turf algae",80,419.591215716667,180.240646518362,8.29542599925,0.175062130955397
"73","Pr","Light","turf algae",90,417.380906079167,182.031186598139,8.29275920795833,0.177576923663302
"74","Pr","Light","turf algae",100,413.836199370833,182.811060821633,8.29439146125,0.184061761543197
"75","Pr","Light","turf algae",110,409.219325666667,183.545950134732,8.27900611179167,0.1768832287543
"76","Pr","Light","turf algae",120,405.098284845833,185.54056580561,8.25952357858333,0.175409631762798
"77","Pr","Light","turf algae",130,401.155550229167,183.816472490824,8.25084549995833,0.17603600841408
"78","Pr","Light","turf algae",140,398.915257591667,182.072661650943,8.251307833375,0.174930812701092
"79","Pr","Light","turf algae",150,397.6618137625,181.387185563484,8.24184678820833,0.173707309791088
"80","Pr","Light","turf algae",160,395.754989270833,179.837580987589,8.24335915670833,0.18083983304564
"81","Pr","Light","turf algae",170,394.3747782375,178.517250159802,8.235580075,0.185211382919826
"82","Pr","Light","turf algae",180,394.694028116667,177.720795914681,8.238387433875,0.190540406962118
"83","Pr","Light","turf algae",190,391.107972766667,172.413152101097,8.24049604745833,0.194813839483381
"84","Pr","Light","turf algae",200,393.083763830435,172.524437309417,8.23994108708696,0.200279081279287
"85","OA","Dark","coral tissue",0,181.174762467556,120.442744048849,7.66648009094444,0.180420292547045
"86","OA","Dark","coral tissue",10,194.183358725,108.690791962695,7.67891809677778,0.174981793616762
"87","OA","Dark","coral tissue",20,206.482389866111,108.616405295357,7.68349207783333,0.167923918036218
"88","OA","Dark","coral tissue",30,209.083370621667,89.9743129389091,7.68824452833333,0.165213426640674
"89","OA","Dark","coral tissue",40,209.874693347778,85.0827263459241,7.69858911316667,0.160767611735527
"90","OA","Dark","coral tissue",50,214.875652103889,84.1061636983509,7.708527936,0.161436602116531
"91","OA","Dark","coral tissue",60,219.47568554,82.4518501043612,7.7193022305,0.162580674150909
"92","OA","Dark","coral tissue",70,226.289531918333,78.7959996589931,7.73113518305556,0.164431375584441
"93","OA","Dark","coral tissue",80,228.752936476667,76.1202834574907,7.74041202338889,0.162560654522449
"94","OA","Dark","coral tissue",90,232.223861274444,76.8083230557468,7.74833099044444,0.162356490256561
"95","OA","Dark","coral tissue",100,232.396442828333,75.0943010640649,7.75045670411111,0.16187631492023
"96","OA","Dark","coral tissue",110,236.995701252778,74.2441567987165,7.75742218227778,0.16056577155161
"97","OA","Dark","coral tissue",120,242.448800400556,70.7045500070192,7.76512675827778,0.163559682993122
"98","OA","Dark","coral tissue",130,247.036702896667,66.1819181643402,7.77088009,0.162739102042161
"99","OA","Dark","coral tissue",140,245.499645236667,63.8909970691766,7.7719648945,0.163858267341298
"100","OA","Dark","coral tissue",150,249.64016087,63.2225676274222,7.77756574427778,0.165658712199391
"101","OA","Dark","coral tissue",160,248.834755367778,60.5153665396212,7.77798008927778,0.163607087325659
"102","OA","Dark","coral tissue",170,252.599159661111,60.2799617116149,7.78075488416667,0.164703509143961
"103","OA","Dark","coral tissue",180,253.626818761111,58.4415197705793,7.78463196755556,0.165119680490627
"104","OA","Dark","coral tissue",190,255.613485127778,57.1629839505603,7.78333152672222,0.163160748308155
"105","OA","Dark","coral tissue",200,256.093839,55.5902500552838,7.78604401494444,0.163081911767051
"106","OA","Dark","turf algae",0,145.490874606333,116.587906209002,7.55623910829167,0.265433967983164
"107","OA","Dark","turf algae",10,149.135943133417,115.234152270426,7.57243011395833,0.223067018640126
"108","OA","Dark","turf algae",20,154.531434495208,113.349780954695,7.59761323525,0.170385397722546
"109","OA","Dark","turf algae",30,160.651621421958,113.146713554128,7.61460419491667,0.161290104748549
"110","OA","Dark","turf algae",40,167.171174109417,114.040081833794,7.62599231791667,0.181530769630022
"111","OA","Dark","turf algae",50,174.788613155917,116.198300702442,7.642101546125,0.19890484672127
"112","OA","Dark","turf algae",60,178.859414637333,118.438880955541,7.65843675529167,0.187886494004051
"113","OA","Dark","turf algae",70,182.02497438525,119.57044745674,7.67036479708333,0.182664041150891
"114","OA","Dark","turf algae",80,184.411379749708,120.174700164181,7.678224523875,0.181411510064376
"115","OA","Dark","turf algae",90,186.752895711833,120.699434141204,7.68561309579167,0.181184701679955
"116","OA","Dark","turf algae",100,188.38527635575,121.062582733296,7.69173469145833,0.176402495759325
"117","OA","Dark","turf algae",110,189.632976983833,121.237020323242,7.69597788654167,0.177922037348167
"118","OA","Dark","turf algae",120,191.048975290125,121.358761165377,7.69809271904167,0.180192856359204
"119","OA","Dark","turf algae",130,192.18621027325,120.936913543096,7.699666698875,0.18444341501821
"120","OA","Dark","turf algae",140,192.8657636645,121.163639600001,7.70102703579167,0.189466563057728
"121","OA","Dark","turf algae",150,194.038045240667,121.215946572998,7.701742549875,0.193541175957807
"122","OA","Dark","turf algae",160,194.739729724708,120.871976482989,7.70381889741667,0.194413044156356
"123","OA","Dark","turf algae",170,195.428771690167,120.928905078962,7.70303865279167,0.196338678257756
"124","OA","Dark","turf algae",180,196.064042506583,120.559917891487,7.70482740808333,0.197939412474588
"125","OA","Dark","turf algae",190,196.780561499917,120.442820783104,7.70682821679167,0.199027275404445
"126","OA","Dark","turf algae",200,197.383176589458,119.768503434193,7.70772111429167,0.200835453082144
"127","OA","Light","coral tissue",0,498.050326877778,190.489520473461,8.12477713166667,0.214937804218233
"128","OA","Light","coral tissue",10,475.913006261111,186.225528200663,8.11039164338889,0.211005162201619
"129","OA","Light","coral tissue",20,450.77134705,174.468380714891,8.04918188511111,0.293800044976568
"130","OA","Light","coral tissue",30,431.229576961111,158.36813077504,8.05749795177778,0.232160765834449
"131","OA","Light","coral tissue",40,414.415774866667,142.241717242669,8.05190785727778,0.218325118417867
"132","OA","Light","coral tissue",50,399.886040572222,131.081968670753,8.04618297683333,0.215834654946812
"133","OA","Light","coral tissue",60,386.687355894444,124.578939867789,8.04014171494445,0.215180111511556
"134","OA","Light","coral tissue",70,379.303202305556,118.13985261806,8.03256101083333,0.211748418691971
"135","OA","Light","coral tissue",80,366.426362772222,111.134888639449,8.01995852261111,0.209434005594162
"136","OA","Light","coral tissue",90,357.804951994444,109.418689115049,8.01066899311111,0.207903661692524
"137","OA","Light","coral tissue",100,349.734117288889,105.397521444592,8.00489791244445,0.201144701184671
"138","OA","Light","coral tissue",110,341.401487555556,101.051811703683,7.995477544,0.192633230209076
"139","OA","Light","coral tissue",120,339.991824666667,99.7308112098868,7.98865667988889,0.182428137781055
"140","OA","Light","coral tissue",130,338.486543438889,99.126971660268,7.98716298738889,0.168869789856345
"141","OA","Light","coral tissue",140,336.530676944444,95.5380934586841,7.97818340211111,0.15562733493047
"142","OA","Light","coral tissue",150,333.08284845,88.4901211893496,7.97397658561111,0.147866765885458
"143","OA","Light","coral tissue",160,323.790878294444,82.6234998192343,7.96945397055556,0.139292880872865
"144","OA","Light","coral tissue",170,321.861952033333,78.182502462007,7.96506799588889,0.131803079380776
"145","OA","Light","coral tissue",180,319.22295295,72.4901334474625,7.95475551822222,0.129297170608984
"146","OA","Light","coral tissue",190,316.221518622222,63.0145606381791,7.95241763861111,0.127236089313743
"147","OA","Light","coral tissue",200,318.250440816667,57.9550363309996,7.95155668261111,0.122849366987569
"148","OA","Light","turf algae",0,548.830961048917,397.535239269005,8.38391474875,0.407106632521775
"149","OA","Light","turf algae",10,539.877845225208,391.394727261802,8.37482998783333,0.400442755495249
"150","OA","Light","turf algae",20,533.0262249805,384.801746404927,8.361513634625,0.396244906606319
"151","OA","Light","turf algae",30,525.016855174083,373.966273805207,8.34563100341667,0.386350566395466
"152","OA","Light","turf algae",40,516.169385582917,361.880225673112,8.32312897845833,0.377144186937607
"153","OA","Light","turf algae",50,505.89877014825,348.305688839429,8.300674776125,0.367866322723349
"154","OA","Light","turf algae",60,495.760813955,335.033324928055,8.27837334079167,0.359311376496684
"155","OA","Light","turf algae",70,485.130982428625,321.348680030388,8.250838061125,0.351474570787277
"156","OA","Light","turf algae",80,475.0182618905,305.525744135237,8.20675885679167,0.353448396096609
"157","OA","Light","turf algae",90,464.854633227917,292.12812981662,8.17395567895833,0.342870534476524
"158","OA","Light","turf algae",100,456.216412558458,280.267996069895,8.156460742125,0.322568361948517
"159","OA","Light","turf algae",110,449.865590178917,270.992590598166,8.14311226208333,0.316073433901034
"160","OA","Light","turf algae",120,445.973700058542,263.884047771759,8.135446945875,0.316916480700692
"161","OA","Light","turf algae",130,440.620693948667,257.542421942384,8.123986899875,0.31599533899142
"162","OA","Light","turf algae",140,433.606689721083,251.267636329159,8.11270576716667,0.313147046153982
"163","OA","Light","turf algae",150,424.821427922333,246.049366567003,8.10477099816667,0.312289719489367
"164","OA","Light","turf algae",160,417.808118783542,241.466959917486,8.092217445375,0.310274958714709
"165","OA","Light","turf algae",170,410.764276472417,236.562990608909,8.08272592216667,0.304952069230769
"166","OA","Light","turf algae",180,403.06216041725,231.907171837493,8.07590470704167,0.301114597343984
"167","OA","Light","turf algae",190,399.077661897042,224.988063212131,8.06947843233333,0.296965928143532
"168","OA","Light","turf algae",200,391.795994475625,218.645764497063,8.06135423970833,0.292981941997237
