,Treatment,Condition,Location,Depth,meanO2,sdO2,,,
1,Present-Day,Night-time,Turf Algae,0,152.24,145.12,152.24 Å} 145.12 ?mol L-1,Å},?mol L-1
2,Present-Day,Night-time,Turf Algae,10,156.4742537,141.2628098,,,
3,Present-Day,Night-time,Turf Algae,20,160.1337176,137.5721207,,,
4,Present-Day,Night-time,Turf Algae,30,164.715912,128.6286381,,,
5,Present-Day,Night-time,Turf Algae,40,169.0813299,121.6855913,,,
6,Present-Day,Night-time,Turf Algae,50,175.6044484,115.6079541,,,
7,Present-Day,Night-time,Turf Algae,60,179.0360436,111.1406478,,,
8,Present-Day,Night-time,Turf Algae,70,182.5757305,103.9912018,,,
9,Present-Day,Night-time,Turf Algae,80,188.3889764,98.05813182,,,
10,Present-Day,Night-time,Turf Algae,90,194.140741,95.93592755,,,
11,Present-Day,Night-time,Turf Algae,100,198.7037776,92.74302667,,,
12,Present-Day,Night-time,Turf Algae,110,203.5780549,90.47951147,,,
13,Present-Day,Night-time,Turf Algae,120,207.4566752,88.41035286,,,
14,Present-Day,Night-time,Turf Algae,130,210.8620263,86.7838601,,,
15,Present-Day,Night-time,Turf Algae,140,214.6530207,86.18382111,,,
16,Present-Day,Night-time,Turf Algae,150,218.4321637,85.73012528,,,
17,Present-Day,Night-time,Turf Algae,160,221.7817992,85.29345497,,,
18,Present-Day,Night-time,Turf Algae,170,224.4472473,83.89200052,,,
19,Present-Day,Night-time,Turf Algae,180,225.5797186,83.2525771,,,
20,Present-Day,Night-time,Turf Algae,190,226.9127569,83.97028333,,,
21,Present-Day,Night-time,Turf Algae,200,228.0493252,83.29122805,,,
22,Present-Day,Night-time,Coral Tissue,0,170.07,97.12,170.07 Å} 97.12 ?mol L-1,Å},?mol L-1
23,Present-Day,Night-time,Coral Tissue,10,184.4301375,87.01429641,,,
24,Present-Day,Night-time,Coral Tissue,20,199.2621686,81.77273772,,,
25,Present-Day,Night-time,Coral Tissue,30,210.0944728,77.14322965,,,
26,Present-Day,Night-time,Coral Tissue,40,220.6781929,68.49332864,,,
27,Present-Day,Night-time,Coral Tissue,50,228.7698979,61.87921308,,,
28,Present-Day,Night-time,Coral Tissue,60,234.0012715,54.00043669,,,
29,Present-Day,Night-time,Coral Tissue,70,233.3510008,43.97615605,,,
30,Present-Day,Night-time,Coral Tissue,80,237.1587701,41.90028345,,,
31,Present-Day,Night-time,Coral Tissue,90,240.631119,36.24608581,,,
