,Treatment,Condition,Location,Depth,meanpH,sdpH,,,
1,Present-Day,Night-time,Coral Tissue,0,7.85,0.17,7.85 Å} 0.17,Å},
2,Present-Day,Night-time,Coral Tissue,10,7.866255269,0.174971219,,,
3,Present-Day,Night-time,Coral Tissue,20,7.887887315,0.175976441,,,
4,Present-Day,Night-time,Coral Tissue,30,7.902926463,0.171247177,,,
5,Present-Day,Night-time,Coral Tissue,40,7.915916836,0.168134818,,,
6,Present-Day,Night-time,Coral Tissue,50,7.926911666,0.168772364,,,
7,Present-Day,Night-time,Coral Tissue,60,7.928260972,0.165657364,,,
8,Present-Day,Night-time,Coral Tissue,70,7.932227598,0.162585624,,,
9,Present-Day,Night-time,Coral Tissue,80,7.933585192,0.159852481,,,
10,Present-Day,Night-time,Coral Tissue,90,7.944181957,0.156424382,,,
11,Present-Day,Night-time,Coral Tissue,100,7.951553259,0.154537896,,,
12,Present-Day,Night-time,Coral Tissue,110,7.955090149,0.149213047,,,
13,Present-Day,Night-time,Coral Tissue,120,7.961352353,0.14548819,,,
14,Present-Day,Night-time,Coral Tissue,130,7.9664561,0.14032568,,,
15,Present-Day,Night-time,Coral Tissue,140,7.972025823,0.133774743,,,
16,Present-Day,Night-time,Coral Tissue,150,7.97593596,0.127078119,,,
17,Present-Day,Night-time,Coral Tissue,160,7.978816772,0.12402233,,,
18,Present-Day,Night-time,Coral Tissue,170,7.983409312,0.121206076,,,
19,Present-Day,Night-time,Coral Tissue,180,7.987695053,0.114561956,,,
20,Present-Day,Night-time,Coral Tissue,190,7.989346528,0.10919156,,,
21,Present-Day,Night-time,Coral Tissue,200,7.989907562,0.106248497,,,
22,Present-Day,Night-time,Turf Algae,0,7.79,0.27,7.79 Å} 0.27,Å},
23,Present-Day,Night-time,Turf Algae,10,7.782971708,0.269068342,,,
24,Present-Day,Night-time,Turf Algae,20,7.794213224,0.26217449,,,
25,Present-Day,Night-time,Turf Algae,30,7.799943674,0.250747897,,,
26,Present-Day,Night-time,Turf Algae,40,7.811111975,0.246293623,,,
27,Present-Day,Night-time,Turf Algae,50,7.823408691,0.239207262,,,
28,Present-Day,Night-time,Turf Algae,60,7.833258816,0.233868619,,,
29,Present-Day,Night-time,Turf Algae,70,7.850487956,0.224906606,,,
30,Present-Day,Night-time,Turf Algae,80,7.860818036,0.216351092,,,
31,Present-Day,Night-time,Turf Algae,90,7.87526205,0.205527041,,,
32,Present-Day,Night-time,Turf Algae,100,7.889694699,0.19412575,,,
33,Present-Day,Night-time,Turf Algae,110,7.900778063,0.185486231,,,
34,Present-Day,Night-time,Turf Algae,120,7.910253295,0.181766998,,,
35,Present-Day,Night-time,Turf Algae,130,7.914811043,0.174823728,,,
36,Present-Day,Night-time,Turf Algae,140,7.923574774,0.164414755,,,
37,Present-Day,Night-time,Turf Algae,150,7.928959656,0.156428829,,,
